                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.58718,                0.61315,                  1.036,                0.43847,                0.48874,                0.38718,                0.23544,                 1.5055,                 1.8286,                 2.0088,             0.00025479,             0.00025479,             0.00025479
                     86,                0.58302,                0.63464,                 1.0447,                0.47504,                0.46179,                0.39317,                0.23926,                 1.5126,                   1.86,                 2.0104,             0.00024064,             0.00024064,             0.00024064
                     87,                0.59336,                0.60541,                 1.0374,                 0.4633,                0.48131,                0.39788,                0.23445,                 1.5473,                  1.856,                 2.0583,              0.0002265,              0.0002265,              0.0002265
                     88,                 0.5867,                 0.6086,                 1.0379,                0.46618,                 0.5153,                0.40918,                0.24564,                 1.5177,                 1.7626,                 2.0417,             0.00021235,             0.00021235,             0.00021235
                     89,                0.57949,                0.56687,                  1.021,                0.47042,                 0.5082,                0.41396,                0.25154,                 1.4911,                 1.7871,                 2.0044,              0.0001982,              0.0001982,              0.0001982
                     90,                0.55993,                0.58048,                 1.0141,                0.45838,                0.49759,                0.40196,                 0.2436,                 1.5026,                 1.8559,                 2.0036,             0.00018406,             0.00018406,             0.00018406
                     91,                0.53798,                0.59282,                 1.0503,                0.48003,                0.43344,                0.39214,                0.23524,                 1.5198,                 1.8265,                 2.0237,             0.00016991,             0.00016991,             0.00016991
                     92,                0.51405,                 0.5485,                 1.0231,                0.48643,                0.42814,                0.38994,                0.22895,                 1.5567,                 1.8367,                 2.0873,             0.00015576,             0.00015576,             0.00015576
                     93,                0.49711,                0.51136,                 1.0077,                0.44935,                0.51279,                  0.408,                0.24438,                 1.5122,                 1.7228,                 2.0529,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.4675,                0.44195,                0.98595,                0.47235,                0.50806,                0.41522,                0.25032,                 1.4884,                 1.7755,                 2.0332,             0.00012747,             0.00012747,             0.00012747
                     95,                0.46964,                0.45552,                0.99797,                0.46665,                0.49232,                0.41368,                0.25417,                 1.4843,                 1.8232,                 2.0208,             0.00011332,             0.00011332,             0.00011332
                     96,                0.45562,                0.43978,                0.98685,                0.44916,                0.46054,                0.40799,                0.25375,                 1.4942,                 1.8412,                 2.0434,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.47077,                0.44537,                0.99375,                0.42573,                0.55916,                0.41433,                0.25839,                 1.5043,                 1.7807,                 2.0645,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.47266,                0.44277,                0.99519,                0.45955,                0.47307,                0.41783,                0.25843,                   1.51,                 1.7416,                 2.0747,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.46282,                0.43335,                0.97657,                0.48511,                0.45446,                0.42104,                0.25953,                  1.509,                   1.72,                 2.0711,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.4409,                 0.4321,                0.98169,                0.49326,                0.44227,                0.42425,                0.26318,                 1.5072,                 1.6954,                 2.0659,             4.2584e-05,             4.2584e-05,             4.2584e-05
